communityName,state,countyCode,communityCode,population,racepctblack,racePctWhite,racePctAsian,racePctHisp,medIncome,PctPopUnderPov,PctNotHSGrad,PctUnemployed,PctEmploy,PctForeignBorn,PolicPerPop,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
Rogerscity,AR,,,24692,0.06,97.72,0.77,1.86,26198,8.72,22.43,3.31,63.1,1.43,,,0,0,9,29.18,10,32.42,44,142.64,233,755.34,1215,3938.79,48,155.61,6,19.45,204.23,4869.19
Bellairecity,TX,,,13842,0.41,94.65,1.98,7.95,45892,3.33,7.59,2.69,70.55,5.08,,,1,6.69,2,13.38,24,160.6,25,167.29,149,997.06,357,2388.92,45,301.12,1,6.69,347.97,3693.79
ElCajoncity,CA,,,88693,2.92,87.36,2.82,13.97,28108,12.92,21.49,7.07,61.86,9.71,,,8,8.59,42,45.1,243,260.94,540,579.87,1368,1469.01,4316,4634.68,889,954.64,31,33.29,894.51,7091.62
MosesLakecity,WA,,,11235,1.89,82.45,1.82,18.16,23258,15.28,26.49,6.5,57.18,6.19,,,2,14.57,20,145.72,3,21.86,132,961.75,217,1581.06,975,7103.83,55,400.73,8,58.29,1143.9,9143.9
WestMemphiscity,AR,,,28259,42.15,56.94,0.52,0.5,22052,22.94,37.55,8.34,59.29,0.66,,,7,25.12,24,86.13,121,434.25,50,179.44,197,707.01,797,2860.32,238,854.15,0,0,724.95,4421.48
Eunicecity,LA,,,11162,26.96,72.26,0.4,0.78,14874,38.27,44.84,13.93,42.8,0.22,,,0,0,2,17.4,9,78.28,160,1391.67,213,1852.66,297,2583.28,32,278.33,1,8.7,1487.34,4722.97
Laredocity,TX,,,122899,0.12,70.83,0.38,93.87,18395,37.29,51.16,11.24,51.36,24.37,123.1,41625.3,21,13.75,7,4.58,163,106.72,862,564.37,1720,1126.13,6246,4089.41,1040,680.91,80,52.38,689.42,5948.83
Amsterdamcity,NY,57,2066,20714,1.46,93.15,0.56,11.61,22166,13.5,31.33,8.97,52.65,6.03,,,0,0,3,14.98,3,14.98,4,19.97,128,639.11,314,1567.81,17,84.88,,,49.93,
Gorhamtown,ME,5,28240,11856,0.37,98.84,0.4,0.45,36618,4.05,13.97,5.73,67.68,2.58,,,0,0,0,0,0,0,2,16.72,34,284.28,68,568.56,8,66.89,0,0,16.72,919.73
RockSpringscity,WY,,,19050,1.17,94.31,0.96,7.46,34372,8.87,17.5,5.13,67.09,1.72,,,1,4.92,14,68.92,6,29.54,111,546.45,213,1048.59,882,4342.05,76,374.14,0,0,649.83,5764.78
Oakdalecity,CA,,,11961,0.24,88.57,1.11,17.04,27230,12.63,30.95,10.34,54.22,8.16,,,0,0,4,28.91,7,50.6,37,267.46,161,1163.8,502,3628.74,51,368.66,13,93.97,346.97,5255.17
Hendersoncity,NC,,,15655,52.88,46.59,0.19,0.54,18499,24.07,43.91,7.91,57.23,1.15,,,6,36.77,3,18.38,73,447.33,207,1268.46,628,3848.28,1125,6893.8,102,625.04,10,61.28,1770.94,11428.4
Norcocity,CA,,,23302,7.95,82.42,1.36,19.55,51594,5.34,24.25,5.1,48.14,7.18,,,1,4.04,4,16.15,29,117.11,117,472.5,279,1126.73,554,2237.3,256,1033.84,15,60.58,609.81,4458.44
Greenvillecity,MS,,,45226,59.63,39.76,0.43,0.56,18060,31.96,38.54,12.45,51.79,0.55,,,16,35.96,34,76.4,66,148.31,133,298.88,1745,3921.35,2631,5912.36,186,417.98,57,128.09,559.55,10379.78
SanCarloscity,CA,,,26167,0.94,91.3,6.07,6.46,54658,2.73,8.38,2.43,69.33,12.55,,,1,3.54,1,3.54,24,85.06,32,113.41,153,542.25,586,2076.84,54,191.38,0,0,205.56,2810.46
SanAngelocity,TX,,,84474,4.8,78.81,1.14,27.99,23534,18.5,29.08,7.71,61.16,5.38,171.5,85990.6,8,8.85,43,47.57,39,43.14,373,412.63,842,931.46,3333,3687.11,174,192.49,,,512.19,
Barbertoncity,OH,153,3828,27623,5.26,94.08,0.29,0.33,21688,16.93,31.19,8.67,51.76,1.44,,,0,0,7,25.08,22,78.84,176,630.69,206,738.19,990,3547.62,89,318.93,19,68.09,734.61,4672.83
Pontiaccity,MI,125,65440,71166,42.2,51.25,1.36,8.01,21962,26.67,37.61,14.4,51.07,2.31,228.2,209108.91,19,27.27,,,423,607.12,1420,2038.09,1470,2109.86,1964,2818.88,874,1254.43,60,86.12,,6269.29
Suffolkcity,VA,800,76432,52141,44.58,54.68,0.38,0.61,26125,17.28,36.09,7.06,57.9,0.83,,,9,16.22,37,66.7,160,288.42,304,547.99,646,1164.49,1974,3558.36,254,457.86,26,46.87,919.33,5227.58
Martinsvillecity,VA,690,49784,16162,36.84,62.7,0.2,0.37,22446,15.61,37.05,5.68,57.4,0.88,,,2,12.52,7,43.81,22,137.7,78,488.2,164,1026.48,980,6133.82,54,337.99,9,56.33,682.23,7554.61
Bricktownship,NJ,29,7420,66473,0.63,97.81,0.83,2.58,38742,3.74,20.23,5.55,60.08,4.71,,,2,2.92,9,13.15,28,40.9,51,74.5,415,606.2,1214,1773.32,98,143.15,14,20.45,131.47,2543.13
LagunaBeachcity,CA,,,23170,0.7,95.77,1.74,6.86,53419,6.14,5.87,1.84,72.93,11.17,,,0,0,5,20.8,22,91.5,164,682.11,412,1713.6,874,3635.15,139,578.13,3,12.48,794.41,5939.36
Robstowncity,TX,,,12849,1.85,62.03,0.19,91.07,16180,37.04,61.8,12.26,44.19,4.97,,,1,7.38,1,7.38,3,22.15,52,383.99,302,2230.1,324,2392.56,56,413.53,8,59.08,420.91,5095.26
Wyomingcity,MI,81,88940,63891,2.72,93.52,1.49,3.5,31103,7.07,21.43,5.13,70.23,3.49,,,1,1.55,,,116,180.07,243,377.21,625,970.18,2235,3469.37,264,409.8,13,20.18,,4869.53
Hastingscity,MN,37,27530,15440,0.31,98.63,0.64,0.49,36091,5,18.63,5.18,69.13,1.02,,,0,0,,,2,12.1,16,96.82,120,726.17,369,2232.98,40,242.06,1,6.05,,3207.26
Paragouldcity,AR,,,18540,0.09,99.39,0.18,0.51,19985,18.82,39.87,7.01,55.48,0.26,,,1,4.65,9,41.81,2,9.29,8,37.16,134,622.47,502,2331.96,35,162.59,1,4.65,92.91,3121.66
BeverlyHillscity,CA,,,31971,1.7,91.28,5.46,5.4,54348,6.6,10.57,3.8,60.76,34.82,378.4,459169.41,1,3,8,24.03,281,843.97,72,216.25,472,1417.63,1755,5271.06,221,663.76,14,42.05,1087.25,7394.5
UniversityHeightscity,OH,35,78932,14790,16.34,81.75,1.53,1,43376,2.9,9.16,4.65,60.44,10.29,,,0,0,2,13.97,14,97.77,18,125.71,62,432.99,186,1298.97,31,216.5,0,0,237.45,1948.46
Marioncity,OH,,,34075,4.22,94.72,0.45,0.85,22439,16.85,30.32,10.98,55.48,0.75,,,1,2.88,16,46.03,37,106.44,20,57.53,587,1688.58,1533,4409.86,103,296.29,3,8.63,212.87,6403.36
Toledocity,OH,95,77000,332943,19.7,76.96,1.05,3.97,24819,19.09,26.84,9.92,55.56,2.78,210.8,127629.2,45,13.89,357,110.19,1594,492.02,1195,368.86,5502,1698.29,15251,4707.51,4517,1394.26,357,110.19,984.96,7910.25
Philadelphiacity,PA,101,60000,1585577,39.86,53.52,2.74,5.63,24603,20.27,35.69,9.62,52.77,6.61,426.4,187978.5,439,28.7,785,51.31,11531,753.74,6821,445.86,15117,988.14,39181,2561.1,23785,1554.73,2282,149.17,1279.6,5253.14
Newtoncity,MA,17,45560,82585,2.08,92.78,4.55,1.98,59719,4.33,8.34,3.94,67.36,13.03,,,1,1.17,11,12.82,27,31.46,181,210.9,479,558.12,1467,1709.31,248,288.96,0,0,256.34,2556.39
OrmondBeachcity,FL,,,29721,3.52,95.13,1.03,1.7,32704,6.72,15.77,4.21,51.11,6.05,,,0,0,10,31.02,24,74.45,12,37.23,293,908.95,948,2940.9,78,241.97,0,0,142.7,4091.83
Lynchburgcity,VA,680,47672,66049,26.41,72.45,0.76,0.72,23726,16.45,30.52,5.97,56.27,1.68,205.5,83166.8,3,4.47,45,67,107,159.32,351,522.63,560,833.83,2316,3448.48,184,273.97,50,74.45,753.42,4630.73
Clintoncity,MS,,,21847,17.14,81.71,0.92,0.48,36770,9.48,13.22,3.37,70.5,1.78,,,2,8.76,0,0,14,61.34,12,52.58,169,740.51,435,1906.06,12,52.58,5,21.91,122.69,2721.06
Andersoncity,SC,,,26184,34.26,65.09,0.31,0.53,19433,19.89,37.36,7.46,54.48,0.7,,,8,26.85,15,50.34,134,449.74,394,1322.37,568,1906.36,1221,4098,137,459.81,3,10.07,1849.3,6474.24
Mesquitecity,TX,,,101484,5.83,87.21,2.63,8.77,35934,7.73,18.76,4.74,74.16,4.66,138.2,72500.1,5,4.32,33,28.5,137,118.34,481,415.48,,,5181,4475.25,761,657.34,93,80.33,566.64,
ParkForestvillage,IL,,,24656,24.63,73,1.13,3.12,36995,4.89,13.06,4.94,67.87,3.38,,,2,7.89,,,25,98.58,30,118.29,124,488.94,523,2062.22,113,445.57,4,15.77,,3012.5
ChippewaFallscity,WI,17,14575,12727,0.11,99.03,0.34,0.34,23056,11.12,25.73,6.85,55.78,0.64,,,0,0,2,14.83,1,7.42,4,29.66,50,370.81,386,2862.65,15,111.24,4,29.66,51.91,3374.37
Beavercreekcity,OH,,,33626,0.92,96.35,2.34,1.02,49143,3.51,11.01,3.13,69.01,3.43,,,0,0,3,7.91,20,52.76,13,34.3,200,527.63,1030,2717.32,70,184.67,26,68.59,94.97,3498.22
Keenecity,NH,5,39300,22430,0.28,98.83,0.59,0.59,31235,8.06,16.34,6.42,63.92,2.65,,,0,0,23,102.18,4,17.77,68,302.1,155,688.61,835,3709.63,24,106.62,14,62.2,422.05,4567.06
Springfieldtownship,OH,23,74119,13352,2.55,97.01,0.28,0.36,32713,8.79,25.83,5.41,55.46,0.97,,,0,0,15,37.91,38,96.04,126,318.45,324,818.86,968,2446.48,36,90.98,13,32.86,452.4,3389.19
Swissvaleborough,PA,3,75816,10637,9.69,89.52,0.51,0.75,23773,12.53,21.74,6.62,55.31,2.29,,,2,18.94,5,47.34,18,170.42,18,170.42,65,615.41,200,1893.58,121,1145.62,9,85.21,407.12,3739.82
Knoxvillecity,TN,,,165121,15.78,82.73,1.04,0.67,19923,20.8,29.21,7.11,55.4,1.98,175.6,94556.8,14,8.14,102,59.32,596,346.59,2200,1279.37,2817,1638.17,6027,3504.88,1609,935.68,173,100.6,1693.42,6179.34
Kernersvilletown,NC,,,10836,5.59,92.94,0.58,1.49,25649,8.46,25.51,5.99,71.82,1.59,,,1,7.46,1,7.46,17,126.74,43,320.58,150,1118.32,606,4518,42,313.13,1,7.46,462.24,5956.91
Bloomingtoncity,MN,53,6616,86335,1.61,94.71,3.09,0.93,41736,3.7,8.76,3.28,74.28,4.04,,,4,4.65,,,65,75.59,103,119.79,715,831.52,3658,4254.13,417,484.96,,,,
ScotchPlainstownship,NJ,39,66060,21160,11.1,83.79,4.57,2.83,58194,1.49,12.02,3.75,67.53,10.92,,,1,4.61,3,13.82,12,55.27,9,41.45,102,469.79,276,1271.19,89,409.91,2,9.21,115.14,2160.1
Newingtontown,CT,3,52140,29208,1.41,96.54,1.4,2.1,45481,1.79,20.02,3.44,67.54,10.94,,,0,0,4,13.68,3,10.26,16,54.72,144,492.44,784,2681.08,110,376.17,1,3.42,78.65,3553.11
Moberlycity,MO,,,12839,7.24,91.65,0.54,0.86,20569,18.27,31.36,8.52,54.24,0.75,,,1,7.88,8,63.04,5,39.4,111,874.7,94,740.74,489,3853.43,21,165.48,1,7.88,985.03,4767.53
Sandycity,UT,,,75058,0.19,97.05,1.69,2.54,43971,4.21,6.93,3.56,72.82,2.92,,,0,0,13,14.89,28,32.06,74,84.74,676,774.07,2454,2810,110,125.96,5,5.73,131.68,3715.75
Wheatoncity,IL,,,51464,2.53,92.97,3.78,2.04,52208,5.12,7.8,2.42,70.3,6.45,,,0,0,,,9,16.62,24,44.33,220,406.32,1050,1939.24,24,44.33,3,5.54,,2395.42
WhiteLaketownship,MI,125,86860,22608,0.69,98.03,0.43,1.3,42549,4.36,16.57,6.2,67.54,2.05,,,0,0,,,3,12.92,61,262.61,157,675.91,618,2660.58,47,202.34,9,38.75,,3577.58
Chickashacity,OK,,,14988,9.78,84.1,0.45,2.48,18357,23.15,33.47,9.5,51.29,1.27,,,4,26.23,11,72.14,15,98.37,143,937.77,289,1895.21,458,3003.48,53,347.56,7,45.9,1134.5,5292.15
Tucsoncity,AZ,,,405390,4.28,75.25,2.2,29.25,21748,20.16,21.39,8.12,58.52,10.71,165.6,102735.7,44,9.78,314,69.78,894,198.68,3111,691.36,7363,1636.29,32076,7128.3,5143,1142.94,162,36,969.6,9943.53
Gallowaytownship,NJ,1,25560,23330,7.36,88.58,2.67,3.69,41944,4.35,18.12,4.1,69.92,4.16,,,1,4.19,5,20.94,10,41.87,44,184.24,266,1113.81,557,2332.3,46,192.61,7,29.31,251.24,3668.03
Sweetwatercity,TX,,,11967,5.57,73.69,0.15,28.98,19157,23.02,41.2,8.51,53.98,2.49,,,1,8.19,7,57.36,9,73.75,97,794.82,214,1753.52,451,3695.51,30,245.82,5,40.97,934.12,5735.82
Portsmouthcity,NH,15,62900,25925,4.6,92.63,1.72,2,30591,6.68,11.2,5.12,69.93,4.04,,,0,0,31,148.32,14,66.98,34,162.67,171,818.14,701,3353.91,70,334.91,9,43.06,377.97,4550.02
Hulltown,MA,23,31645,10466,0.89,98.1,0.64,1.08,37683,8.02,14.63,7.31,65.59,5.39,,,0,0,6,53.92,0,0,93,835.73,105,943.57,101,907.62,18,161.75,3,26.96,889.65,2039.9
Scotttownship,PA,3,68388,17118,0.59,97.87,1.37,0.55,34644,4.13,16.84,3.05,63.85,3.07,,,1,5.74,1,5.74,2,11.49,3,17.23,62,356.12,176,1010.91,47,269.96,3,17.23,40.21,1654.22
Pittsfieldtownship,MI,161,64560,17668,16.58,78.17,4.04,2.1,34639,9.33,12.12,3.78,71.33,8.21,,,0,0,,,43,236.86,50,275.42,256,1410.16,1203,6626.64,103,567.37,7,38.56,,8642.72
Duncanvillecity,TX,,,35748,12.06,82.54,2.14,6.65,41028,3.78,12.99,4.57,72.16,3.39,,,0,0,19,51.17,56,150.83,98,263.95,414,1115.06,1188,3199.74,262,705.67,16,43.09,465.96,5063.56
Mexicocity,MO,,,11290,9.4,89.79,0.46,0.42,23744,14.35,30.01,4.48,55.04,0.87,,,1,8.83,1,8.83,3,26.48,12,105.91,75,661.96,180,1588.7,10,88.26,0,0,150.04,2338.92
NewProvidenceborough,NJ,39,51810,11439,0.54,94.18,4.9,2.7,62420,2.45,9.49,2.71,69.32,12.51,,,0,0,0,0,3,24.78,3,24.78,12,99.12,93,768.21,18,148.69,2,16.52,49.56,1032.55
Barnstabletown,MA,1,3635,40949,2.7,94.53,0.7,1.71,33411,6.78,11.27,7.22,57,5.53,,,2,4.67,22,51.39,29,67.74,723,1688.82,609,1422.53,666,1555.67,128,298.99,0,0,1812.62,3277.2
Rutherfordborough,NJ,3,65280,17790,3.01,89.39,6.45,5.78,46499,3.68,16.92,4.17,62.97,16.06,,,0,0,2,11.23,5,28.07,16,89.83,50,280.71,246,1381.09,75,421.06,2,11.23,129.13,2094.09
Portlandcity,OR,,,437319,7.67,84.64,5.3,3.17,25592,14.53,17.1,6.16,62.61,7.68,167.7,127691.9,58,12.65,479,104.44,2305,502.59,5603,1221.7,7845,1710.56,27016,5890.68,8459,1844.43,604,131.7,1841.38,9577.37
Manassascity,VA,683,48952,27957,10.33,83.46,3.1,5.73,46674,3.79,15.79,3.3,77.22,7.62,,,0,0,10,31.06,55,170.84,32,99.4,141,437.98,1067,3314.39,86,267.14,6,18.64,301.31,4038.14
Torrancecity,CA,,,133107,1.45,72.98,21.86,10.07,47204,5.15,12.38,3.95,67.04,22.17,139.7,168449.5,12,8.64,30,21.6,430,309.54,390,280.75,1582,1138.83,4096,2948.59,1704,1226.66,54,38.87,620.53,5352.95
SouthJordancity,UT,,,12220,0.06,98.01,0.86,2.06,43804,3.21,9.1,3.21,70.81,1.19,,,0,0,2,11.57,3,17.35,28,161.92,126,728.66,399,2307.43,46,266.02,0,0,190.84,3302.11
RedwoodCitycity,CA,,,66072,3.64,82.76,6.32,24.12,42962,8.3,18.45,3.82,69.14,23.8,,,3,4.4,15,22.02,106,155.59,371,544.58,513,753.02,1876,2753.72,453,664.94,2,2.94,726.59,4174.62
Lancastertownship,PA,71,41224,13187,3.03,93.76,1.36,3.4,35855,6.27,21.66,3.31,62.15,5.28,,,0,0,0,0,7,52.19,3,22.37,79,589.02,307,2288.99,38,283.33,3,22.37,74.56,3183.72
Algonquinvillage,IL,,,11663,0.17,98.04,1.29,1.73,53665,1.65,9.45,2.29,75.69,4.51,,,0,0,,,2,15.21,7,53.23,46,349.81,201,1528.52,5,38.02,6,45.63,,1961.98
Sebastiancity,FL,,,10205,1.06,97.38,1.04,1.79,26654,6.77,26.53,5.66,48.43,5.5,,,0,0,2,17,1,8.5,37,314.47,151,1283.36,277,2354.24,12,101.99,0,0,339.96,3739.59
GrandForkscity,ND,35,32060,49425,0.8,95.49,1.07,1.19,25456,14.48,14.24,5.08,66.75,2.25,,,0,0,19,37.7,14,27.78,28,55.55,234,464.26,2202,4368.79,195,386.88,14,27.78,121.02,5247.7
NewHaventown,CT,9,52070,130474,36.14,53.85,2.41,13.22,25811,21.29,28.97,9.25,56.71,8.15,326.1,149991.2,22,18.39,130,108.69,1238,1035.08,1154,964.85,3417,2856.93,7719,6453.8,1873,1566,134,112.04,2127.02,10988.76
Westwegocity,LA,,,11218,15.59,81.67,0.71,2.79,18095,23.81,49.27,8.37,50.95,2,,,0,0,4,36.38,34,309.2,51,463.81,142,1291.38,440,4001.46,144,1309.57,2,18.19,809.39,6620.59
Doltonvillage,IL,,,23930,38.14,58.5,1.17,4.53,36724,4.93,21.38,6.76,62.79,4.34,,,0,0,,,78,313.81,38,152.88,215,864.98,1039,4180.08,317,1275.35,1,4.02,,6324.43
Munstertown,IN,,,19949,0.44,95.21,3.61,2.65,48483,1.27,12.33,2.81,61.56,6.33,,,3,14.58,2,9.72,6,29.15,30,145.76,59,286.66,498,2419.59,58,281.8,1,4.86,199.2,2992.91
Newberrytown,SC,,,10542,41.48,57.56,0.56,0.69,19063,25.22,39.06,9.13,51.53,0.58,,,0,0,5,47.14,15,141.42,142,1338.74,82,773.07,465,4383.9,16,150.84,1,9.43,1527.29,5317.24
NorthTonawandacity,NY,63,53682,34989,0.16,98.92,0.37,0.79,29576,6.07,20.21,5.64,63.82,3.38,,,1,3.04,1,3.04,9,27.38,17,51.71,177,538.42,622,1892.07,43,130.8,3,9.13,85.17,2570.42
Redlandscity,CA,,,60394,3.83,79.59,4.42,18.96,37073,8.98,15.38,4.78,63.25,10.41,,,5,7.71,21,32.38,150,231.3,296,456.44,975,1503.47,1620,2498.07,616,949.88,16,24.67,727.83,4976.1
Avondalecity,AZ,,,16169,4.62,58.93,1.26,51.15,24292,28.22,42.85,11.09,55,10.51,,,1,4.68,9,42.11,23,107.61,134,626.93,601,2811.83,794,3714.79,142,664.36,16,74.86,781.32,7265.84
Lafayettecity,CO,,,14548,0.98,88.96,2.17,14.87,34182,8.43,14.97,3.93,76.18,5.27,,,0,0,0,0,6,33.89,59,333.24,111,626.94,542,3061.28,28,158.15,7,39.54,367.13,3885.91
Oshkoshcity,WI,139,60500,55006,0.79,96.25,2.18,0.83,25168,12.63,21.39,4.82,61.2,2.84,,,5,8.82,19,33.52,7,12.35,57,100.56,479,845.07,2625,4631.1,112,197.59,10,17.64,155.25,5691.4
Tukwilacity,WA,,,11874,6.36,82.79,7.41,3.67,30141,9.33,15.18,4.77,72.35,7.02,,,3,23.46,41,320.61,70,547.39,95,742.88,301,2353.77,2481,19401,288,2252.11,14,109.48,1634.34,24116.36
Dublincity,CA,,,23229,11.49,77.75,6.04,10.46,53710,4.23,14.13,3.52,59.36,8.3,,,0,0,1,3.81,16,60.9,49,186.52,120,456.78,490,1865.17,61,232.2,2,7.61,251.23,2561.76
Breacity,CA,,,32873,1.08,86.96,6.22,15.45,51253,3.55,12.59,3.31,72.58,12.45,,,3,8.61,5,14.35,51,146.36,69,198.01,309,886.76,1521,4364.92,222,637.09,16,45.92,367.33,5934.68
NorthAugustacity,SC,,,15351,15.59,83.14,0.99,0.67,32877,9.28,18.08,3.62,65.69,1.51,,,0,0,3,16.99,18,101.92,78,441.65,170,962.57,500,2831.1,74,419,1,5.66,560.56,4218.33
Tallahasseecity,FL,,,124773,29.09,68.24,1.75,3,23453,22.32,14.48,5.56,63.45,4.5,212.1,133378.2,9,6.63,137,100.91,790,581.91,1754,1292,3970,2924.3,10701,7882.35,2065,1521.08,30,22.1,1981.45,12349.83
Princetonborough,NJ,21,60900,12016,8.51,82.51,7.07,5.13,43092,9.64,11.6,3.21,57.12,17.15,,,0,0,0,0,4,33.55,6,50.33,97,813.69,487,4085.23,16,134.22,1,8.39,83.89,5041.52
Menomoniecity,WI,33,51025,13547,1.2,94.56,3.5,0.82,21392,28.82,19.79,7.56,54.07,3.29,,,0,0,2,13.29,2,13.29,2,13.29,108,717.66,787,5229.58,35,232.57,3,19.93,39.87,6199.75
